account_id,account_name,country,signup_date,referral_source,seats,is_trial,seniority_months,signup_month,mrr_amount,nb_upgrades,days_since_last_usage,usage_trend_30d,nb_unique_features,total_tickets,nb_critical_tickets,resolution_time_hours,satisfaction_score,critical_ratio,churn_flag,ind_Cybersecurity,ind_DevTools,ind_EdTech,ind_FinTech,ind_HealthTech,plan_Basic,plan_Enterprise,plan_Pro
A-2e4581,Company_0,US,2024-10-16,partner,9,False,2,12,1260.3,1,108.4,0.0268292682926829,5.0,2.0,2.0,23.0,3.5,1.0,1,False,False,True,False,False,True,False,False
A-43a9e3,Company_1,IN,2023-08-17,other,18,False,15,2,1250.5,3,127.75,-0.0138888888888888,4.0,3.0,2.0,38.0,4.0,0.6666666666666666,0,False,False,False,True,False,True,False,False
A-0a282f,Company_2,US,2024-08-27,organic,1,False,4,12,1219.0666666666666,1,115.26666666666668,-0.0150766771355006,5.2,3.0,1.0,43.66666666666666,4.666666666666667,0.3333333333333333,1,False,True,False,False,False,True,False,False
A-1f0ac7,Company_3,UK,2023-08-27,other,24,True,13,12,1325.0,2,84.57142857142857,0.0091896407685881,5.428571428571429,2.0,1.0,29.0,4.0,0.5,1,False,False,False,False,True,True,False,False
A-ce550d,Company_4,US,2024-10-27,event,35,False,2,10,4909.333333333333,2,72.88888888888889,-0.0064997263273125,6.444444444444445,7.0,4.0,42.285714285714285,3.857142857142857,0.5714285714285714,1,False,False,False,False,True,False,True,False
A-1b9609,Company_5,IN,2023-10-12,ads,4,False,13,12,1528.1818181818182,0,143.9090909090909,0.0,4.090909090909091,4.0,3.0,43.0,3.75,0.75,1,False,False,True,False,False,False,True,False
A-a0ca4e,Company_6,US,2024-03-08,ads,11,False,9,3,1848.111111111111,0,94.0,0.0083333333333333,4.75,6.0,2.0,39.16666666666666,3.8333333333333335,0.3333333333333333,0,True,False,False,False,False,False,False,True
A-e5d6ab,Company_7,US,2023-04-15,partner,3,False,20,10,1304.8,0,128.5,0.0097560975609756,3.9,3.0,2.0,42.66666666666666,4.0,0.6666666666666666,1,False,False,True,False,False,False,False,True
A-7dacce,Company_8,CA,2024-09-10,event,12,False,3,9,2305.7,1,165.7,-0.0353846153846153,4.4,4.0,4.0,32.5,3.75,1.0,1,True,False,False,False,False,False,True,False
A-10b8da,Company_9,US,2023-05-08,partner,14,False,19,5,1464.5,1,127.33333333333331,0.0315315315315315,4.5,3.0,2.0,31.33333333333333,3.6666666666666665,0.6666666666666666,0,False,True,False,False,False,False,True,False
A-592832,Company_10,US,2024-09-25,organic,18,False,3,12,1714.2631578947369,1,116.88888888888889,0.0226798795824687,5.333333333333333,3.0,1.0,32.666666666666664,4.333333333333333,0.3333333333333333,1,True,False,False,False,False,True,False,False
A-d40bf7,Company_11,IN,2024-11-08,organic,59,False,1,11,4324.7,1,121.9,0.0,5.0,2.0,2.0,20.5,5.0,1.0,0,False,False,False,True,False,True,False,False
A-6c093d,Company_12,US,2023-04-14,partner,7,True,20,5,1353.5,2,145.08333333333334,0.0225718166635979,4.916666666666667,3.0,2.0,40.333333333333336,4.333333333333333,0.6666666666666666,0,False,True,False,False,False,True,False,False
A-462d45,Company_13,US,2024-01-15,partner,11,True,11,2,1952.6666666666667,1,167.58333333333334,0.0018939393939393,5.583333333333333,4.0,3.0,26.75,4.0,0.75,1,True,False,False,False,False,False,True,False
A-956988,Company_14,UK,2024-11-30,ads,1,False,1,12,2262.076923076923,0,146.6153846153846,-0.0076923076923076,5.230769230769231,2.0,1.0,50.5,3.5,0.5,1,False,False,True,False,False,False,True,False
A-ac14bb,Company_15,US,2023-09-08,partner,21,False,15,10,3468.25,2,111.125,0.0453705841607019,6.375,2.0,1.0,24.5,4.0,0.5,1,False,False,False,True,False,False,True,False
A-463db0,Company_16,US,2024-12-05,partner,15,False,0,12,1895.142857142857,0,67.14285714285714,0.0059523809523809,5.142857142857143,6.0,2.0,50.16666666666666,4.166666666666667,0.3333333333333333,1,False,False,False,False,True,True,False,False
A-ce66f8,Company_17,CA,2023-08-23,event,29,False,16,7,1976.3333333333333,0,92.83333333333331,0.0484290101582801,7.0,6.0,2.0,41.66666666666666,3.8333333333333335,0.3333333333333333,0,False,False,True,False,False,False,False,True
A-c4ea60,Company_18,DE,2023-03-09,other,18,False,21,11,1627.3333333333333,0,181.55555555555557,0.1090534979423868,4.666666666666667,5.0,1.0,36.0,3.6,0.2,0,False,False,False,True,False,False,True,False
A-832ec2,Company_19,UK,2023-11-19,event,4,True,12,1,1162.375,3,75.625,-0.0249999999999999,5.75,3.0,1.0,26.0,4.0,0.3333333333333333,1,False,False,False,True,False,False,True,False
A-684255,Company_20,US,2024-04-14,ads,9,False,8,7,846.0,3,136.28571428571428,0.0085714285714285,4.5,4.0,1.0,14.25,4.5,0.25,1,False,False,False,True,False,False,True,False
A-c42f1f,Company_21,US,2024-07-28,other,8,False,5,11,646.875,1,220.625,0.0,4.125,9.0,4.0,31.33333333333333,4.0,0.4444444444444444,0,False,False,False,False,True,False,False,True
A-4e44e8,Company_22,US,2024-08-20,ads,3,False,4,8,2603.214285714286,2,119.07142857142856,0.0,4.642857142857143,3.0,1.0,31.33333333333333,3.333333333333333,0.3333333333333333,1,False,True,False,False,False,False,True,False
A-30b4ca,Company_23,IN,2024-05-20,organic,86,False,7,7,9492.25,0,163.125,0.0197832661290322,5.25,3.0,0.0,57.66666666666666,4.0,0.0,1,False,False,True,False,False,True,False,False
A-9f2731,Company_24,IN,2024-10-04,event,1,False,2,11,516.1428571428571,0,94.0,-0.0199692780337941,4.428571428571429,0.0,0.0,0.0,0.0,0.0,1,False,False,False,True,False,False,True,False
A-32fb14,Company_25,US,2023-03-07,event,26,False,17,7,1129.111111111111,2,159.55555555555554,-0.0386334610472541,4.888888888888889,5.0,3.0,34.0,4.2,0.6,1,False,True,False,False,False,False,True,False
A-00cac8,Company_26,AU,2023-09-15,organic,8,True,15,4,1569.0,0,151.44444444444446,0.0533083645443196,5.888888888888889,2.0,2.0,33.0,4.0,1.0,0,False,False,False,False,True,False,True,False
A-35083d,Company_27,IN,2023-04-28,partner,19,False,19,12,2027.0625,3,135.5,-0.049218821268929,4.1875,4.0,3.0,49.75,4.75,0.75,0,False,False,False,False,True,True,False,False
A-eb7fac,Company_28,US,2023-10-28,organic,7,False,12,7,3214.6,0,188.33333333333331,-0.0140237324703344,5.444444444444445,4.0,2.0,34.0,4.0,0.5,1,False,True,False,False,False,False,True,False
A-b20d99,Company_29,IN,2023-09-27,other,20,False,11,1,1581.2857142857142,1,238.7142857142857,0.0,4.428571428571429,2.0,0.0,61.5,3.5,0.0,1,False,False,False,False,True,True,False,False
A-396e5f,Company_30,CA,2024-10-02,other,2,False,3,10,1023.6,2,97.4,0.0022768092416001,4.9,5.0,4.0,24.8,4.0,0.8,1,True,False,False,False,False,False,True,False
A-45ce7a,Company_31,US,2023-07-23,ads,16,False,16,9,1173.7142857142858,2,120.28571428571428,0.0506912442396313,5.142857142857143,5.0,0.0,45.4,3.8,0.0,0,False,False,False,True,False,False,True,False
A-08e34e,Company_32,US,2024-06-27,event,14,False,6,8,1983.7272727272727,0,135.9090909090909,0.0357323232323232,5.090909090909091,3.0,1.0,43.0,3.333333333333333,0.3333333333333333,1,False,False,True,False,False,True,False,False
A-8145a0,Company_33,AU,2023-04-25,partner,2,True,17,11,1438.3333333333333,2,127.41666666666669,0.0254901960784313,4.833333333333333,6.0,2.0,23.666666666666668,4.0,0.3333333333333333,1,True,False,False,False,False,True,False,False
A-bad8c1,Company_34,AU,2023-03-01,organic,7,False,18,12,1113.857142857143,2,88.57142857142857,0.0844155844155844,5.285714285714286,1.0,1.0,27.0,4.0,1.0,1,False,False,False,True,False,True,False,False
A-44dc83,Company_35,FR,2024-05-12,other,5,False,6,9,114.0,0,192.0,0.0,4.75,7.0,4.0,40.85714285714285,4.428571428571429,0.5714285714285714,1,False,False,True,False,False,True,False,False
A-f446b6,Company_36,DE,2023-05-12,ads,5,True,19,5,1265.7777777777778,0,142.22222222222223,0.050179211469534,4.222222222222222,8.0,6.0,30.75,4.125,0.75,0,False,True,False,False,False,False,False,True
A-a45270,Company_37,US,2024-06-24,ads,3,False,5,12,1677.5833333333333,2,118.08333333333331,0.0111246672582076,5.416666666666667,4.0,3.0,64.0,4.0,0.75,1,False,False,False,False,True,False,True,False
A-854864,Company_38,IN,2024-12-07,event,20,False,0,12,2459.833333333333,0,172.83333333333334,-0.0498084291187739,3.8333333333333335,5.0,2.0,44.2,4.8,0.4,1,False,False,False,True,False,False,True,False
A-1b7577,Company_39,US,2024-10-27,other,4,False,2,11,797.3636363636364,0,69.45454545454545,0.0004030919523877,5.636363636363637,5.0,3.0,27.2,4.0,0.6,0,True,False,False,False,False,False,False,True
A-05f0e5,Company_40,US,2023-05-04,partner,32,False,18,6,4159.583333333333,2,91.83333333333331,0.0485304659498208,5.25,4.0,2.0,20.0,4.0,0.5,1,False,False,False,True,False,True,False,False
A-9077b0,Company_41,US,2024-08-25,ads,2,False,4,12,509.2857142857143,3,109.85714285714286,0.0,6.142857142857143,3.0,3.0,40.333333333333336,4.333333333333333,1.0,0,False,False,False,False,True,True,False,False
A-7f8241,Company_42,US,2023-03-14,organic,34,False,21,8,2634.4,2,169.33333333333334,-0.0056497175141243,4.6,1.0,0.0,36.0,3.0,0.0,0,False,False,True,False,False,False,False,True
A-2bc93d,Company_43,US,2023-03-14,event,14,False,17,4,2491.846153846154,4,176.23076923076923,-0.0126291618828932,4.846153846153846,2.0,1.0,12.0,4.5,0.5,1,False,False,False,False,True,True,False,False
A-f3ff05,Company_44,IN,2024-07-06,other,2,False,5,8,1497.3076923076924,1,124.6923076923077,0.0192307692307692,4.307692307692308,3.0,1.0,42.66666666666666,3.6666666666666665,0.3333333333333333,1,False,False,False,True,False,False,True,False
A-2d4502,Company_45,IN,2024-04-29,event,7,False,8,11,2907.1,2,185.0,-0.0236363636363636,4.6,3.0,2.0,26.33333333333333,4.666666666666667,0.6666666666666666,1,False,False,False,True,False,True,False,False
A-6a4e2d,Company_46,UK,2023-04-07,partner,9,False,19,10,944.9090909090908,2,93.63636363636364,0.02599340157804,4.727272727272728,2.0,0.0,18.5,4.5,0.0,1,False,False,True,False,False,False,False,True
A-eb7c38,Company_47,AU,2024-02-25,organic,5,False,8,10,2494.266666666667,3,125.86666666666666,-0.0117647058823529,4.466666666666667,5.0,2.0,22.4,4.2,0.4,1,False,True,False,False,False,False,True,False
A-c37601,Company_48,US,2024-10-31,partner,6,True,2,11,1706.25,0,141.9090909090909,-0.0129870129870129,4.090909090909091,4.0,2.0,42.25,3.75,0.5,1,False,False,True,False,False,True,False,False
A-3b5cd1,Company_49,US,2023-09-12,event,13,True,15,10,1821.2307692307693,2,96.58333333333331,0.0140758873929008,4.0,5.0,2.0,27.4,4.0,0.4,1,False,False,False,True,False,True,False,False
A-b2225d,Company_50,US,2024-03-08,ads,47,False,9,11,1590.6666666666667,1,108.58333333333331,0.0424836601307189,5.833333333333333,2.0,2.0,42.0,3.5,1.0,1,False,False,False,True,False,True,False,False
A-94f8c9,Company_51,US,2024-03-29,other,13,False,9,8,1999.3125,2,170.3125,-0.0094339622641509,4.4375,3.0,2.0,47.333333333333336,4.666666666666667,0.6666666666666666,1,False,False,False,False,True,True,False,False
A-02fac6,Company_52,US,2023-04-06,event,22,False,14,5,2400.909090909091,1,102.63636363636364,-0.118997716150227,4.454545454545454,6.0,2.0,23.33333333333333,4.0,0.3333333333333333,1,False,False,False,True,False,False,False,True
A-c1dfe1,Company_53,DE,2023-08-07,ads,26,False,14,3,3223.75,1,142.0,-0.0499999999999999,4.625,3.0,2.0,50.333333333333336,4.0,0.6666666666666666,1,False,True,False,False,False,False,False,True
A-32728c,Company_54,US,2023-01-03,event,20,False,21,5,562.25,1,191.75,-0.0090062111801242,4.875,2.0,0.0,34.5,3.5,0.0,1,False,True,False,False,False,False,False,True
A-4c38bc,Company_55,UK,2024-03-09,event,36,False,9,7,3003.75,2,138.375,0.0085742941327342,4.8125,3.0,2.0,48.333333333333336,3.6666666666666665,0.6666666666666666,0,False,False,False,False,True,True,False,False
A-1b707d,Company_56,US,2023-07-14,organic,1,False,13,12,1166.5,1,163.125,-0.0282258064516129,4.75,3.0,0.0,42.66666666666666,4.0,0.0,1,True,False,False,False,False,False,True,False
A-6f8ad2,Company_57,IN,2024-07-09,organic,1,False,5,9,1525.1764705882354,2,151.11764705882354,-0.0267209616466795,5.0,4.0,2.0,35.25,4.25,0.5,0,False,False,True,False,False,True,False,False
A-4d1e75,Company_58,US,2024-08-21,other,20,False,3,10,2414.6153846153848,3,178.92307692307693,-0.0041580041580041,3.8461538461538463,2.0,0.0,15.0,4.0,0.0,1,False,True,False,False,False,True,False,False
A-9ee962,Company_59,US,2023-02-28,ads,9,False,18,6,1046.6666666666667,3,168.125,0.0186567164179104,4.25,3.0,1.0,37.0,4.0,0.3333333333333333,1,False,False,False,False,True,True,False,False
A-378b99,Company_60,UK,2024-09-01,ads,8,True,3,9,1009.6666666666666,1,168.58333333333334,0.050965572864276,4.5,6.0,1.0,28.5,4.333333333333333,0.1666666666666666,1,False,False,True,False,False,False,False,True
A-94d3da,Company_61,US,2023-05-03,other,41,False,19,9,1889.4166666666667,1,219.83333333333331,0.0185185185185185,4.0,6.0,4.0,26.83333333333333,3.6666666666666665,0.6666666666666666,1,False,False,False,False,True,True,False,False
A-e351e1,Company_62,US,2024-09-26,other,33,False,3,9,699.6,0,74.6,0.1313131313131312,5.4,4.0,1.0,17.0,3.75,0.25,1,False,False,True,False,False,False,True,False
A-9badbd,Company_63,DE,2024-06-19,ads,5,True,6,9,2498.230769230769,0,148.23076923076923,0.0150988015394795,5.230769230769231,5.0,3.0,30.2,4.4,0.6,0,True,False,False,False,False,False,True,False
A-7e0a10,Company_64,US,2023-11-18,ads,46,False,13,7,4111.6,1,152.2,-0.0193965517241379,4.8,5.0,5.0,39.4,4.0,1.0,1,False,False,False,True,False,False,True,False
A-118d55,Company_65,US,2024-10-22,organic,8,False,2,11,1993.25,3,144.0,-0.0260872524993192,4.5,5.0,1.0,24.2,4.2,0.2,1,True,False,False,False,False,True,False,False
A-526d93,Company_66,FR,2024-04-14,organic,43,False,8,7,4355.666666666667,2,167.0,0.0303030303030303,5.666666666666667,5.0,3.0,51.4,3.8,0.6,1,False,False,False,False,True,True,False,False
A-f92792,Company_67,US,2024-07-04,ads,1,False,5,12,1343.357142857143,1,192.42857142857144,0.019290573372206,3.7142857142857135,2.0,0.0,45.0,4.0,0.0,1,False,False,False,True,False,False,False,True
A-84ebe4,Company_68,US,2023-03-12,ads,18,True,20,2,2544.909090909091,0,61.90909090909091,0.0691755408106909,3.636363636363636,4.0,1.0,29.5,4.0,0.25,1,False,False,False,True,False,False,False,True
A-5b4ebb,Company_69,UK,2024-07-10,other,21,True,5,10,2138.692307692308,1,121.6153846153846,-0.0106508875739645,4.923076923076923,5.0,0.0,35.4,4.6,0.0,0,True,False,False,False,False,True,False,False
